id,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
78,1,14102100,1005,0,1,2,18993,320,50,2161,0,35,-1,157,1.27353E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-3.65387E+18,-6.32762E+18,7.59867E+18,5.54534E+17,5.04075E+18,5.42086E+18
79,1,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,-7.88223E+18,8.62995E+18,1.11604E+17,-2.41439E+18,7.25044E+18,3.04303E+18,4.84492E+18,-3.51805E+18,7.87605E+18,-1.7083E+18
80,1,14102100,1005,0,1,0,15703,320,50,1722,0,35,100083,79,-7.95034E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-3.02833E+18,7.56804E+18
81,1,14102100,1002,0,0,0,21691,320,50,2495,2,167,-1,23,-7.36176E+18,8.62995E+18,1.11604E+17,-2.41439E+18,6.43234E+18,8.51175E+18,-3.69061E+18,7.27845E+18,-7.75735E+18,3.87562E+18
82,1,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,5.71606E+18,8.62995E+18,1.11604E+17,-2.41439E+18,7.25044E+18,3.04303E+18,4.84492E+18,-3.51805E+18,-6.15456E+18,7.11964E+18
83,1,14102100,1005,0,1,0,15702,320,50,1722,0,35,100083,79,5.84138E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-6.29034E+17,-4.01772E+18
84,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,7.14618E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.76996E+18,8.5977E+18
85,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,100083,79,-8.76597E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-3.16286E+18,-5.21321E+17
86,1,14102100,1005,0,1,0,20633,320,50,2374,3,39,-1,23,-3.01354E+17,8.62995E+18,1.11604E+17,-2.41439E+18,-5.28361E+18,-6.32762E+18,-4.84056E+18,-3.51805E+18,8.70038E+18,3.55326E+18
87,1,14102100,1002,0,0,0,21682,320,50,2496,3,167,100191,23,-7.02299E+18,4.78928E+17,1.11604E+17,-2.41439E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-7.76573E+18,-7.90008E+18,4.74243E+16
88,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-6.32736E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.75738E+18,2.69455E+18
89,1,14102100,1005,0,1,0,15702,320,50,1722,0,35,100083,79,-5.15463E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-2.93431E+17,-2.81651E+18
90,1,14102100,1005,0,1,0,15703,320,50,1722,0,35,-1,79,5.69482E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-6.55692E+17,-1.48904E+18
91,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,100083,79,-4.50604E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.49384E+18,1.07701E+18
92,1,14102100,1005,0,1,0,4687,320,50,423,2,39,100148,32,9.00992E+18,8.62995E+18,1.11604E+17,-2.41439E+18,7.25044E+18,3.04303E+18,4.84492E+18,-3.51805E+18,-7.37269E+18,7.51056E+18
93,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,7.34543E+18,8.62995E+18,1.11604E+17,-2.41439E+18,2.91252E+18,-9.04228E+17,4.84492E+18,-3.51805E+18,8.2758E+18,2.25361E+18
94,1,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,2.88205E+18,-5.00298E+18,-2.20517E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,2.79223E+18,-7.33233E+18
95,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-1.75806E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,7.34757E+16,7.56804E+18
96,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-1.78477E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,2.65635E+18,3.55326E+18
97,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-8.00728E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.55664E+18,-9.06866E+18
98,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-7.66315E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,1.68503E+18,-7.30806E+18
99,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-1.74042E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.1095E+18,7.99583E+18
100,1,14102100,1005,1,1,0,19772,320,50,2227,0,687,100075,48,5.06118E+18,8.43893E+18,-8.45901E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,6.96547E+18,-2.75665E+18
101,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,7.98425E+18,1.68335E+18,-6.80248E+18,-5.33137E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-4.09019E+18,-6.18665E+18
102,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,3.62846E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-5.69053E+18,9.1974E+18
103,1,14102100,1005,1,1,0,17212,320,50,1887,3,39,100200,23,2.44174E+18,5.19199E+17,-8.24504E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,3.21384E+18,1.94943E+18
104,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-3.28444E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-7.49737E+18,-7.56786E+18
105,1,14102100,1005,0,1,3,20596,320,50,2161,0,35,-1,157,-9.17396E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-3.65387E+18,-6.32762E+18,7.59867E+18,-8.2423E+18,-7.92546E+18,-6.15282E+18
106,1,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,6.17679E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-8.72938E+18,2.82282E+17
107,1,14102100,1010,1,4,0,21665,320,50,2493,3,35,100050,117,-9.03708E+17,8.62995E+18,1.11604E+17,-2.41439E+18,6.39136E+18,8.51175E+18,4.84492E+18,-4.46014E+18,7.08594E+18,-1.97946E+18
108,1,14102100,1005,0,1,0,18945,320,50,2153,3,427,100063,61,1.72034E+18,4.81197E+18,-6.46583E+18,-6.82751E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-3.8698E+18,7.74943E+18
109,1,14102100,1005,0,1,0,15702,320,50,1722,0,35,-1,79,-2.09519E+18,1.58678E+18,-6.46136E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-4.66807E+18,8.5977E+18
110,1,14102100,1005,0,1,2,20596,320,50,2161,0,35,100034,157,8.78378E+18,8.62995E+18,1.11604E+17,-2.41439E+18,-9.07506E+18,-4.52592E+18,-4.84056E+18,-3.51805E+18,-6.98619E+18,4.31427E+18
111,1,14102100,1005,0,1,0,19665,320,50,2253,2,303,-1,52,4.59055E+18,-7.88947E+18,-4.69354E+18,-6.61938E+18,-3.45965E+18,8.51175E+18,-3.69061E+18,-3.51805E+18,-4.68435E+18,5.64461E+18
